grid_size,genome_size,mutation_rate,num_threads,omp_singleMeasure_multipleParallelFor,omp_singleMeasure_oneParallelFor,omp_singleMeasure_oneParallelFor_bitset,omp_singleMeasure_oneParallelSectionMultipleFor,seq_singleMeasure_multipleFor,seq_singleMeasure_oneFor,seq_singleMeasure_oneFor_bitset
16,1000,1e-06,1,79.074,76.568,76.819,77.305,75.127,73.745,75.652
16,1000,1e-06,2,106.593,98.968,93.902,97.862,-1,-1,-1
16,1000,1e-06,4,95.259,70.751,75.603,71.281,-1,-1,-1
16,1000,1e-06,6,68.104,53.43,53.071,76.364,-1,-1,-1
16,1000,1e-06,8,90.14,83.852,68.309,95.307,-1,-1,-1
16,1000,1e-06,12,133.195,58.026,88.461,61.47,-1,-1,-1
16,1000,1e-06,16,100.268,65.847,54.428,112.87,-1,-1,-1
16,1000,1e-06,20,115.351,50.693,74.021,94.392,-1,-1,-1
16,1000,1e-06,26,107.333,80.505,60.523,103.955,-1,-1,-1
16,1000,1e-06,32,125.423,55.951,80.206,194.045,-1,-1,-1
16,1000,1e-06,48,207.661,330.397,312.449,279.644,-1,-1,-1
16,1000,1e-06,64,383.416,235.497,219.293,259.12,-1,-1,-1
16,2000,1e-06,1,82.495,80.308,78.719,81.395,79.472,76.612,81.147
16,2000,1e-06,2,104.486,93.049,87.864,92.883,-1,-1,-1
16,2000,1e-06,4,94.253,64.046,73.426,95.097,-1,-1,-1
16,2000,1e-06,6,103.647,53.482,49.608,82.022,-1,-1,-1
16,2000,1e-06,8,74.385,53.908,44.788,57.489,-1,-1,-1
16,2000,1e-06,12,71.76,87.47,62.487,76.039,-1,-1,-1
16,2000,1e-06,16,158.053,70.446,61.633,67.783,-1,-1,-1
16,2000,1e-06,20,103.862,52.613,89.296,103.804,-1,-1,-1
16,2000,1e-06,26,114.817,112.907,67.735,90.896,-1,-1,-1
16,2000,1e-06,32,151.612,138.819,119.729,104.514,-1,-1,-1
16,2000,1e-06,48,575.499,178.753,368.267,230.353,-1,-1,-1
16,2000,1e-06,64,420.617,250.779,164.828,287.984,-1,-1,-1
16,4000,1e-06,1,95.507,88.738,86.988,92.401,89.534,85.123,86.378
16,4000,1e-06,2,110.451,94.158,90.59,99.61,-1,-1,-1
16,4000,1e-06,4,98.591,68.948,65.291,87.056,-1,-1,-1
16,4000,1e-06,6,104.256,66.893,50.551,87.57,-1,-1,-1
16,4000,1e-06,8,76.58,50.432,75.022,60.218,-1,-1,-1
16,4000,1e-06,12,107.643,63.22,59.575,59.839,-1,-1,-1
16,4000,1e-06,16,127.01,59.958,112.301,86.007,-1,-1,-1
16,4000,1e-06,20,112.959,50.405,78.645,144.993,-1,-1,-1
16,4000,1e-06,26,139.513,52.0,108.622,113.434,-1,-1,-1
16,4000,1e-06,32,254.218,113.746,102.218,166.702,-1,-1,-1
16,4000,1e-06,48,241.713,164.332,252.663,287.023,-1,-1,-1
16,4000,1e-06,64,435.392,378.486,161.532,262.867,-1,-1,-1
16,8000,1e-06,1,132.488,117.318,113.438,126.384,125.02,113.651,113.799
16,8000,1e-06,2,133.355,112.514,111.662,121.06,-1,-1,-1
16,8000,1e-06,4,110.343,89.982,87.988,106.218,-1,-1,-1
16,8000,1e-06,6,88.851,65.78,65.993,92.926,-1,-1,-1
16,8000,1e-06,8,89.858,64.499,61.147,59.942,-1,-1,-1
16,8000,1e-06,12,102.837,79.053,105.13,72.314,-1,-1,-1
16,8000,1e-06,16,129.754,117.002,62.611,84.367,-1,-1,-1
16,8000,1e-06,20,123.956,100.529,89.653,90.872,-1,-1,-1
16,8000,1e-06,26,167.053,122.008,61.53,87.069,-1,-1,-1
16,8000,1e-06,32,226.865,102.214,81.767,106.165,-1,-1,-1
16,8000,1e-06,48,406.643,159.479,238.565,508.437,-1,-1,-1
16,8000,1e-06,64,575.88,293.914,234.175,242.729,-1,-1,-1
16,16000,1e-06,1,233.275,202.267,199.934,228.612,227.836,199.666,200.773
16,16000,1e-06,2,213.426,174.203,155.499,202.034,-1,-1,-1
16,16000,1e-06,4,154.596,127.751,117.776,159.716,-1,-1,-1
16,16000,1e-06,6,151.131,98.182,104.484,116.399,-1,-1,-1
16,16000,1e-06,8,152.751,92.049,112.644,105.135,-1,-1,-1
16,16000,1e-06,12,125.709,69.781,117.94,102.369,-1,-1,-1
16,16000,1e-06,16,151.277,75.979,129.93,99.196,-1,-1,-1
16,16000,1e-06,20,155.206,94.837,88.684,129.173,-1,-1,-1
16,16000,1e-06,26,161.181,105.635,130.461,123.941,-1,-1,-1
16,16000,1e-06,32,205.624,144.381,149.382,120.951,-1,-1,-1
16,16000,1e-06,48,262.309,167.333,131.999,354.595,-1,-1,-1
16,16000,1e-06,64,560.933,313.329,192.361,600.903,-1,-1,-1
16,32000,1e-06,1,551.694,498.107,517.986,532.977,540.037,502.266,526.698
16,32000,1e-06,2,392.673,381.013,402.313,428.386,-1,-1,-1
16,32000,1e-06,4,305.711,226.735,237.517,259.715,-1,-1,-1
16,32000,1e-06,6,270.144,203.96,223.103,257.214,-1,-1,-1
16,32000,1e-06,8,188.892,195.353,222.615,175.078,-1,-1,-1
16,32000,1e-06,12,199.343,157.736,179.275,193.449,-1,-1,-1
16,32000,1e-06,16,200.401,144.994,144.59,209.834,-1,-1,-1
16,32000,1e-06,20,215.289,148.082,202.146,186.347,-1,-1,-1
16,32000,1e-06,26,212.714,199.316,191.509,216.316,-1,-1,-1
16,32000,1e-06,32,237.393,195.13,190.798,250.683,-1,-1,-1
16,32000,1e-06,48,387.584,225.409,227.084,251.262,-1,-1,-1
16,32000,1e-06,64,783.927,538.882,246.144,596.854,-1,-1,-1
32,1000,1e-06,1,304.315,305.873,303.72,300.037,298.355,293.782,303.895
32,1000,1e-06,2,315.624,320.844,310.695,318.245,-1,-1,-1
32,1000,1e-06,4,215.009,212.722,199.532,207.852,-1,-1,-1
32,1000,1e-06,6,170.02,177.253,152.166,131.985,-1,-1,-1
32,1000,1e-06,8,142.849,113.563,162.152,127.146,-1,-1,-1
32,1000,1e-06,12,148.691,119.695,118.269,116.149,-1,-1,-1
32,1000,1e-06,16,192.649,94.662,128.623,140.313,-1,-1,-1
32,1000,1e-06,20,118.856,143.45,134.478,112.508,-1,-1,-1
32,1000,1e-06,26,149.968,92.291,127.012,182.851,-1,-1,-1
32,1000,1e-06,32,153.334,91.392,121.835,192.042,-1,-1,-1
32,1000,1e-06,48,438.626,173.827,134.088,264.244,-1,-1,-1
32,1000,1e-06,64,483.181,269.346,228.978,535.095,-1,-1,-1
32,2000,1e-06,1,317.112,316.042,309.874,316.75,310.158,304.909,316.114
32,2000,1e-06,2,323.327,320.671,316.557,316.006,-1,-1,-1
32,2000,1e-06,4,214.161,191.492,191.902,243.184,-1,-1,-1
32,2000,1e-06,6,175.613,148.005,154.599,173.059,-1,-1,-1
32,2000,1e-06,8,151.043,129.578,129.419,168.334,-1,-1,-1
32,2000,1e-06,12,136.373,85.716,88.442,121.097,-1,-1,-1
32,2000,1e-06,16,141.826,118.528,125.112,132.795,-1,-1,-1
32,2000,1e-06,20,159.623,138.379,96.179,142.145,-1,-1,-1
32,2000,1e-06,26,177.556,116.002,107.8,155.89,-1,-1,-1
32,2000,1e-06,32,175.067,139.217,128.894,115.563,-1,-1,-1
32,2000,1e-06,48,280.144,272.095,448.839,435.219,-1,-1,-1
32,2000,1e-06,64,641.942,339.514,228.103,274.131,-1,-1,-1
32,4000,1e-06,1,371.046,358.974,350.265,368.501,369.218,347.717,352.635
32,4000,1e-06,2,355.878,340.414,327.427,338.196,-1,-1,-1
32,4000,1e-06,4,244.581,208.804,207.467,247.668,-1,-1,-1
32,4000,1e-06,6,217.029,151.926,148.481,194.046,-1,-1,-1
32,4000,1e-06,8,142.308,122.815,120.388,176.788,-1,-1,-1
32,4000,1e-06,12,136.387,122.407,153.792,137.07,-1,-1,-1
32,4000,1e-06,16,145.209,128.094,112.318,164.976,-1,-1,-1
32,4000,1e-06,20,187.381,140.966,114.122,201.801,-1,-1,-1
32,4000,1e-06,26,182.048,105.001,94.71,149.943,-1,-1,-1
32,4000,1e-06,32,195.782,91.389,118.513,243.662,-1,-1,-1
32,4000,1e-06,48,389.519,259.096,227.95,282.902,-1,-1,-1
32,4000,1e-06,64,441.674,299.31,274.764,520.33,-1,-1,-1
32,8000,1e-06,1,524.547,496.552,475.08,512.08,514.884,484.601,488.862
32,8000,1e-06,2,447.997,392.122,392.719,433.992,-1,-1,-1
32,8000,1e-06,4,290.691,240.06,237.935,274.22,-1,-1,-1
32,8000,1e-06,6,217.76,202.403,206.192,199.194,-1,-1,-1
32,8000,1e-06,8,203.845,174.301,151.833,201.88,-1,-1,-1
32,8000,1e-06,12,186.297,160.983,142.385,159.079,-1,-1,-1
32,8000,1e-06,16,159.135,141.767,110.124,138.092,-1,-1,-1
32,8000,1e-06,20,216.837,105.153,185.164,139.557,-1,-1,-1
32,8000,1e-06,26,174.205,97.055,133.269,188.904,-1,-1,-1
32,8000,1e-06,32,185.13,162.563,147.682,181.671,-1,-1,-1
32,8000,1e-06,48,530.323,375.874,233.442,335.295,-1,-1,-1
32,8000,1e-06,64,417.246,278.304,516.469,279.93,-1,-1,-1
32,16000,1e-06,1,949.303,891.484,951.958,927.638,937.829,872.52,905.128
32,16000,1e-06,2,748.041,647.713,659.174,727.032,-1,-1,-1
32,16000,1e-06,4,468.273,364.33,408.261,484.888,-1,-1,-1
32,16000,1e-06,6,357.435,325.203,305.406,334.193,-1,-1,-1
32,16000,1e-06,8,323.29,303.009,304.731,301.51,-1,-1,-1
32,16000,1e-06,12,265.938,232.265,201.73,224.423,-1,-1,-1
32,16000,1e-06,16,238.251,203.801,202.806,200.215,-1,-1,-1
32,16000,1e-06,20,251.247,195.334,189.042,198.19,-1,-1,-1
32,16000,1e-06,26,311.889,172.729,214.686,237.983,-1,-1,-1
32,16000,1e-06,32,273.266,168.981,170.988,210.989,-1,-1,-1
32,16000,1e-06,48,721.284,275.409,346.699,407.703,-1,-1,-1
32,16000,1e-06,64,372.268,300.472,230.756,541.505,-1,-1,-1
32,32000,1e-06,1,2455.999,2394.668,2638.538,2444.311,2400.09,2371.205,2649.408
32,32000,1e-06,2,1686.673,1645.355,1756.435,1730.793,-1,-1,-1
32,32000,1e-06,4,1167.151,1017.148,1112.155,1101.118,-1,-1,-1
32,32000,1e-06,6,849.245,758.393,864.573,812.544,-1,-1,-1
32,32000,1e-06,8,738.456,587.292,669.791,689.657,-1,-1,-1
32,32000,1e-06,12,588.641,494.65,560.428,556.808,-1,-1,-1
32,32000,1e-06,16,503.766,409.78,491.137,448.94,-1,-1,-1
32,32000,1e-06,20,461.049,391.307,467.464,406.169,-1,-1,-1
32,32000,1e-06,26,449.477,421.82,482.069,469.472,-1,-1,-1
32,32000,1e-06,32,501.939,411.806,460.99,389.354,-1,-1,-1
32,32000,1e-06,48,512.03,489.642,789.215,486.954,-1,-1,-1
32,32000,1e-06,64,547.407,371.118,1331.223,579.602,-1,-1,-1
64,1000,1e-06,1,1210.043,1235.028,1237.834,1201.696,1201.847,1192.14,1240.71
64,1000,1e-06,2,1259.006,1283.516,1237.831,1256.009,-1,-1,-1
64,1000,1e-06,4,818.835,871.98,849.663,778.451,-1,-1,-1
64,1000,1e-06,6,605.366,520.072,550.954,456.419,-1,-1,-1
64,1000,1e-06,8,541.733,379.77,332.875,495.857,-1,-1,-1
64,1000,1e-06,12,441.299,449.921,319.889,410.341,-1,-1,-1
64,1000,1e-06,16,401.942,349.496,320.95,369.117,-1,-1,-1
64,1000,1e-06,20,374.279,314.625,311.139,309.797,-1,-1,-1
64,1000,1e-06,26,426.921,254.985,355.531,490.153,-1,-1,-1
64,1000,1e-06,32,531.85,280.126,431.131,327.027,-1,-1,-1
64,1000,1e-06,48,483.965,359.817,436.401,385.651,-1,-1,-1
64,1000,1e-06,64,484.939,741.227,605.646,415.494,-1,-1,-1
64,2000,1e-06,1,1254.894,1277.904,1274.318,1237.252,1248.081,1243.866,1271.683
64,2000,1e-06,2,1128.735,1126.622,1118.913,1094.867,-1,-1,-1
64,2000,1e-06,4,686.356,779.477,747.719,659.873,-1,-1,-1
64,2000,1e-06,6,640.172,512.126,469.012,509.25,-1,-1,-1
64,2000,1e-06,8,527.567,309.356,303.561,399.979,-1,-1,-1
64,2000,1e-06,12,328.488,339.217,441.949,291.456,-1,-1,-1
64,2000,1e-06,16,323.858,246.028,289.56,324.395,-1,-1,-1
64,2000,1e-06,20,308.478,257.611,214.859,337.508,-1,-1,-1
64,2000,1e-06,26,258.964,281.385,248.109,342.027,-1,-1,-1
64,2000,1e-06,32,264.199,213.652,222.695,250.619,-1,-1,-1
64,2000,1e-06,48,519.359,346.175,524.612,444.894,-1,-1,-1
64,2000,1e-06,64,488.557,655.515,427.767,623.257,-1,-1,-1
64,4000,1e-06,1,1464.348,1489.675,1457.061,1448.237,1456.56,1451.915,1448.947
64,4000,1e-06,2,1246.997,1253.522,1231.973,1229.837,-1,-1,-1
64,4000,1e-06,4,857.886,775.638,781.854,861.821,-1,-1,-1
64,4000,1e-06,6,563.722,598.033,570.654,664.482,-1,-1,-1
64,4000,1e-06,8,548.169,397.132,359.972,502.83,-1,-1,-1
64,4000,1e-06,12,418.282,291.81,370.163,393.023,-1,-1,-1
64,4000,1e-06,16,368.25,362.188,340.366,363.413,-1,-1,-1
64,4000,1e-06,20,355.411,289.911,313.04,424.896,-1,-1,-1
64,4000,1e-06,26,335.203,241.57,305.399,409.191,-1,-1,-1
64,4000,1e-06,32,390.077,228.998,235.402,295.152,-1,-1,-1
64,4000,1e-06,48,520.63,397.086,291.388,414.788,-1,-1,-1
64,4000,1e-06,64,907.451,348.989,408.154,656.074,-1,-1,-1
64,8000,1e-06,1,1825.621,1803.827,1778.298,1808.924,1825.386,1770.698,1765.592
64,8000,1e-06,2,1416.448,1333.388,1367.413,1393.644,-1,-1,-1
64,8000,1e-06,4,851.493,768.01,775.244,822.193,-1,-1,-1
64,8000,1e-06,6,595.116,514.627,513.216,604.834,-1,-1,-1
64,8000,1e-06,8,506.125,452.231,425.433,465.861,-1,-1,-1
64,8000,1e-06,12,402.93,322.759,327.879,398.25,-1,-1,-1
64,8000,1e-06,16,360.36,267.406,247.507,284.951,-1,-1,-1
64,8000,1e-06,20,363.941,265.207,257.64,380.621,-1,-1,-1
64,8000,1e-06,26,317.971,266.54,218.115,333.159,-1,-1,-1
64,8000,1e-06,32,331.799,225.048,259.506,265.897,-1,-1,-1
64,8000,1e-06,48,492.272,276.417,297.315,485.336,-1,-1,-1
64,8000,1e-06,64,758.051,364.843,424.718,494.097,-1,-1,-1
64,16000,1e-06,1,3297.636,3074.413,3116.922,3206.501,3239.855,3033.658,3112.799
64,16000,1e-06,2,2340.926,2167.157,2166.224,2333.341,-1,-1,-1
64,16000,1e-06,4,1466.903,1274.552,1320.49,1432.749,-1,-1,-1
64,16000,1e-06,6,1084.298,922.04,925.117,957.085,-1,-1,-1
64,16000,1e-06,8,798.84,715.558,760.685,757.193,-1,-1,-1
64,16000,1e-06,12,626.051,500.501,550.405,590.534,-1,-1,-1
64,16000,1e-06,16,562.613,433.877,443.871,469.153,-1,-1,-1
64,16000,1e-06,20,441.552,455.804,456.699,496.817,-1,-1,-1
64,16000,1e-06,26,464.6,372.957,426.395,428.96,-1,-1,-1
64,16000,1e-06,32,448.416,336.981,377.86,438.9,-1,-1,-1
64,16000,1e-06,48,497.592,624.677,767.902,586.954,-1,-1,-1
64,16000,1e-06,64,579.752,415.486,812.114,398.669,-1,-1,-1
64,32000,1e-06,1,9663.234,9627.992,9821.914,10053.292,10047.01,8888.506,9637.252
64,32000,1e-06,2,6357.67,5761.509,6003.04,6099.032,-1,-1,-1
64,32000,1e-06,4,3886.481,3450.517,3618.662,3769.583,-1,-1,-1
64,32000,1e-06,6,2754.16,2454.033,2511.54,2696.228,-1,-1,-1
64,32000,1e-06,8,2182.653,1937.165,2092.647,2157.463,-1,-1,-1
64,32000,1e-06,12,1670.188,1409.705,1603.04,1529.184,-1,-1,-1
64,32000,1e-06,16,1363.371,1211.665,1335.898,1272.388,-1,-1,-1
64,32000,1e-06,20,1153.992,1049.079,1295.629,1138.16,-1,-1,-1
64,32000,1e-06,26,1008.031,879.287,1248.572,1056.193,-1,-1,-1
64,32000,1e-06,32,1016.968,913.853,1189.155,894.107,-1,-1,-1
64,32000,1e-06,48,1097.681,733.638,1291.103,884.17,-1,-1,-1
64,32000,1e-06,64,934.04,686.771,1768.513,755.695,-1,-1,-1
16,1000,9.999999999999999e-06,1,99.118,93.629,88.495,98.493,96.175,90.153,88.071
16,1000,9.999999999999999e-06,2,116.282,92.185,89.146,99.532,-1,-1,-1
16,1000,9.999999999999999e-06,4,95.327,64.25,60.066,75.456,-1,-1,-1
16,1000,9.999999999999999e-06,6,96.665,57.225,50.733,56.43,-1,-1,-1
16,1000,9.999999999999999e-06,8,80.105,46.899,73.054,80.499,-1,-1,-1
16,1000,9.999999999999999e-06,12,89.137,74.653,55.42,60.217,-1,-1,-1
16,1000,9.999999999999999e-06,16,135.666,61.52,63.487,80.355,-1,-1,-1
16,1000,9.999999999999999e-06,20,109.418,67.626,74.955,147.246,-1,-1,-1
16,1000,9.999999999999999e-06,26,131.03,65.701,57.808,84.518,-1,-1,-1
16,1000,9.999999999999999e-06,32,177.543,109.261,82.313,109.969,-1,-1,-1
16,1000,9.999999999999999e-06,48,288.755,220.481,246.879,221.185,-1,-1,-1
16,1000,9.999999999999999e-06,64,467.358,139.483,255.5,348.08,-1,-1,-1
16,2000,9.999999999999999e-06,1,141.115,129.227,118.775,139.756,139.464,125.542,118.184
16,2000,9.999999999999999e-06,2,141.178,118.33,107.394,107.996,-1,-1,-1
16,2000,9.999999999999999e-06,4,102.634,72.498,74.991,92.93,-1,-1,-1
16,2000,9.999999999999999e-06,6,88.814,83.644,86.071,70.1,-1,-1,-1
16,2000,9.999999999999999e-06,8,85.264,64.278,75.174,64.145,-1,-1,-1
16,2000,9.999999999999999e-06,12,120.873,70.812,77.5,61.03,-1,-1,-1
16,2000,9.999999999999999e-06,16,134.72,65.992,86.809,75.911,-1,-1,-1
16,2000,9.999999999999999e-06,20,130.85,55.239,65.366,92.09,-1,-1,-1
16,2000,9.999999999999999e-06,26,110.503,55.344,113.701,88.444,-1,-1,-1
16,2000,9.999999999999999e-06,32,143.249,91.992,73.058,130.436,-1,-1,-1
16,2000,9.999999999999999e-06,48,452.814,83.596,198.913,294.981,-1,-1,-1
16,2000,9.999999999999999e-06,64,269.898,282.281,156.98,365.608,-1,-1,-1
16,4000,9.999999999999999e-06,1,238.462,205.209,186.614,234.974,233.02,200.078,185.858
16,4000,9.999999999999999e-06,2,211.386,150.244,164.396,204.587,-1,-1,-1
16,4000,9.999999999999999e-06,4,125.936,111.227,152.084,112.283,-1,-1,-1
16,4000,9.999999999999999e-06,6,143.439,72.336,68.751,126.016,-1,-1,-1
16,4000,9.999999999999999e-06,8,81.803,91.209,58.613,89.856,-1,-1,-1
16,4000,9.999999999999999e-06,12,105.284,94.189,75.432,126.881,-1,-1,-1
16,4000,9.999999999999999e-06,16,198.869,81.575,75.701,98.291,-1,-1,-1
16,4000,9.999999999999999e-06,20,134.316,112.244,93.287,95.378,-1,-1,-1
16,4000,9.999999999999999e-06,26,172.708,76.892,93.274,120.309,-1,-1,-1
